expedition_id,mean_age,member_count
AMAD14346,32.25,8
AMAD14347,38.8,15
AMAD14348,39,7
AMAD14349,39.444,18
AMAD14350,39.25,4
AMAD14351,42.2,5
AMAD14352,36.882,17
AMAD14353,53.2,5
AMAD14354,60.5,2
AMAD14355,35.5,4
AMAD14356,32.5,2
AMAD14357,32.667,3
AMAD14358,42.667,3
AMAD14359,41,2
AMAD14360,43,2
AMAD14361,34.667,3
AMAD14362,39.4,5
AMAD14363,42.667,6
AMAD14364,39.5,2
AMAD14365,29,3
AMAD14366,37.667,15
AMAD14367,32.5,4
AMAD14368,36,2
AMAD14369,38.8,5
AMAD14370,31.667,3
AMAD14371,47,2
AMAD14372,40,3
AMAD15101,41.083,12
AMAD15102,53,2
AMAD15103,42.55,20
AMAD15104,41.421,19
AMAD15301,43.75,12
AMAD15302,42.385,13
AMAD15303,45.444,9
AMAD15304,38.5,2
AMAD15305,46,3
AMAD15306,29.75,4
AMAD15307,39.812,16
AMAD15308,29.5,2
AMAD15309,44.667,3
AMAD15310,28.5,4
AMAD15311,37,1
AMAD15312,52,1
AMAD15313,51.333,3
AMAD15314,38.438,16
AMAD15315,40.357,14
AMAD15316,38.111,9
AMAD15317,47.25,12
AMAD15318,38.6,5
AMAD15319,42.765,17
AMAD15320,40.429,14
AMAD15321,43,12
AMAD15322,40.5,4
AMAD15323,41.368,19
AMAD15324,45,4
AMAD15325,41.818,11
AMAD15326,42.5,2
AMAD15327,42.64,25
AMAD15328,58,3
AMAD15329,44.5,2
AMAD15330,49,2
AMAD15331,37,3
AMAD16101,23.6,5
AMAD16102,39.647,17
AMAD16103,42.375,8
AMAD16301,26.833,6
AMAD16302,38.905,21
AMAD16303,41.417,12
AMAD16304,41.769,13
AMAD16305,40.294,17
AMAD16306,43.25,16
AMAD16307,47.167,6
AMAD16308,42.875,8
AMAD16309,41.75,4
AMAD16310,38.9,10
AMAD16311,46.333,3
AMAD16312,41.056,18
AMAD16313,39.333,3
AMAD16314,30.5,8
AMAD16315,49.5,2
AMAD16316,37.308,13
AMAD16317,37.667,9
AMAD16318,46.167,6
AMAD16319,48.4,5
AMAD16320,45.429,7
AMAD16321,40.222,9
AMAD16322,37.5,2
AMAD16323,43,2
AMAD16324,39,2
AMAD16325,38.818,11
AMAD16326,32.2,5
AMAD16327,49.273,11
AMAD16328,44.6,5
AMAD16329,43.333,6
AMAD16330,36,7
AMAD16331,39.714,7
AMAD16332,44,2
AMAD16333,49.889,9
AMAD16334,44.3,10
AMAD16335,38,1
AMAD16336,38.667,3
AMAD16337,29.5,2
AMAD16338,38.25,4
AMAD16339,43,2
AMAD16340,37,1
AMAD16341,40,3
AMAD16342,33.75,4
AMAD16343,58,1
AMAD16344,43,3
AMAD16345,55.5,2
AMAD16346,51.286,7
AMAD16347,36.889,9
AMAD16348,39.8,5
AMAD16349,59.5,2
AMAD16350,38.5,2
AMAD16351,44,2
AMAD16352,51,3
AMAD16353,35.286,14
AMAD16354,44.333,6
AMAD16355,50,1
AMAD16356,31,3
AMAD16357,44,17
AMAD16358,40.286,14
AMAD16359,38,10
AMAD16360,37,1
AMAD17101,29,2
AMAD17102,44.333,3
AMAD17103,53,3
AMAD17104,41.5,2
AMAD17105,36.333,6
AMAD17106,31.5,4
AMAD17107,28.25,4
AMAD17301,42.688,16
AMAD17302,43.889,9
AMAD17303,40.125,16
AMAD17304,38.222,18
AMAD17305,57.2,5
AMAD17306,42.833,6
AMAD17307,46.714,7
AMAD17308,40.667,3
AMAD17309,42.5,4
AMAD17310,44.727,11
AMAD17311,43.476,21
AMAD17312,51.333,3
AMAD17313,40.667,3
AMAD17314,49,2
AMAD17315,31,1
AMAD17316,45.75,4
AMAD17317,44.25,4
AMAD17318,40.5,6
AMAD17319,42.333,9
AMAD17320,44.75,4
AMAD17321,48,2
AMAD17322,33,2
AMAD17323,27,1
AMAD17324,53,2
AMAD17325,39.1,10
AMAD17326,37.5,4
AMAD17327,55.5,2
AMAD17328,46.5,2
AMAD17329,42,2
AMAD17330,37.357,14
AMAD17331,34.8,5
AMAD17332,39.75,4
AMAD17333,32.5,2
AMAD17334,38.667,3
AMAD17335,48,1
AMAD17336,35.667,3
AMAD17337,37.857,7
AMAD17338,30.5,2
AMAD17339,49,2
AMAD17340,40.889,9
AMAD17341,35.25,4
AMAD17342,39.333,3
AMAD17343,44.917,12
AMAD17344,38,3
AMAD17345,36.222,9
AMAD17346,32.714,7
AMAD17347,43.167,6
AMAD17348,33.357,14
AMAD17349,34,1
AMAD17350,61,1
AMAD17351,32.6,5
AMAD17352,44,2
AMAD17353,39.3,10
AMAD17355,48,3
AMAD17356,54.286,7
AMAD17357,46,1
AMAD17358,32,1
AMAD17359,48.5,2
AMAD18101,44.833,6
AMAD18102,30,4
AMAD18103,44.571,7
AMAD18104,37.333,3
AMAD18105,37.5,2
AMAD18106,48.2,5
AMAD18107,52,2
AMAD18301,39.629,35
AMAD18302,44.818,22
AMAD18303,39.231,13
AMAD18304,45.167,6
AMAD18305,43.5,6
AMAD18306,49,7
AMAD18307,46.25,4
AMAD18308,45.5,6
AMAD18309,43.917,12
AMAD18310,42.5,4
AMAD18311,45.062,16
AMAD18312,53.6,5
AMAD18313,41,5
AMAD18314,42,6
AMAD18315,30.364,11
AMAD18316,34.667,3
AMAD18317,36.667,6
AMAD18318,40.5,2
AMAD18319,35.5,2
AMAD18320,42.364,11
AMAD18321,38,12
AMAD18322,35,6
AMAD18323,39,2
AMAD18324,32.75,4
AMAD18325,40.5,2
AMAD18326,42.667,3
AMAD18327,30,4
AMAD18328,43.625,8
AMAD18329,29.5,2
AMAD18330,42,2
AMAD18331,33,4
AMAD18332,30,2
AMAD18333,35,4
AMAD18334,37.25,4
AMAD18335,41,10
AMAD18336,50,1
AMAD18337,44.5,2
AMAD18338,30,2
AMAD18339,38.4,5
AMAD18340,39.5,10
AMAD18341,38.083,12
AMAD18342,40.8,5
AMAD18343,34.5,4
AMAD18344,35.5,4
AMAD18345,44,1
AMAD18346,50,5
AMAD18347,39.733,15
AMAD18348,44.75,4
AMAD18349,29,2
AMAD18350,35,7
AMAD18351,28.5,2
AMAD18352,45.062,16
AMAD18353,45.25,4
AMAD18354,38.8,10
AMAD18355,40.591,22
AMAD18356,46.333,3
AMAD18357,28,2
AMAD18358,38.909,11
AMAD18359,36,15
AMAD18360,43.571,14
AMAD18361,39.857,14
AMAD18362,36.5,2
AMAD18363,35.4,5
AMAD18364,48,1
AMAD18365,46.333,3
AMAD18366,32.5,2
AMAD18367,54,2
AMAD18368,34.143,7
AMAD18369,52,3
AMAD18370,51,4
AMAD18371,36.5,2
AMAD18372,29,2
AMAD18401,27.667,3
AMAD19101,36,2
AMAD19102,44.667,12
AMAD19103,46,3
AMAD19104,41.4,5
AMAD19105,36.8,5
AMAD19106,35.533,15
AMAD19107,52.333,3
AMAD19108,33,1
AMAD19109,41.5,2
AMAD19110,41,1
AMAD19111,40,2
AMAD19112,34.083,12
AMAD58301,51.75,4
AMAD59101,38.429,7
AMAD61101,31.4,5
AMAD78301,34.625,8
AMAD79101,31.235,17
AMAD79301,34.609,23
AMAD79302,24.75,4
AMAD79303,35.4,5
AMAD80101,27,3
AMAD80301,30.714,7
AMAD80302,26.167,6
AMAD81101,32.25,12
AMAD81102,27.444,9
AMAD81301,28.875,8
AMAD81302,33.4,5
AMAD82101,30.667,9
AMAD82401,30.5,6
AMAD83101,37.4,5
AMAD83102,35.2,5
AMAD83301,31.556,18
AMAD83302,38.071,14
AMAD83401,30,3
AMAD84101,43,5
AMAD84102,32.286,7
